Order;Family;Genus;Taxa;CA1SP;CA1SU;CA2SU;CA3SP;CA3SU;CA4SP;H1SU;H2SU;H3SU;H5SU;MU1SP;MU2SP;MU2SU;MU3SP;MU3SU;MU4SP;MU4SU;R4SP;R4SU;SA1SP;SA1SU;SA2SP;SA2SU;SA3SP;SA3SU;SA4SP;SA5SP;SA5SU;SC1SP;SC2SP;SC3SP;SC3SU;SC4SP;SC4SU;T1SP;T1SU;T2SP;T3SP;T3SU;T4SP
Megaloptera;Sialidae;Sialis;Sialis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Hemiptera;Corixidae;Sigara;Sigara;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Simuliidae;Simulium;Simulium;1;1;0;96;14;3;67;2;196;0;1;661;0;672;3;27;0;0;0;4;0;0;4;14;10;90;1;0;0;0;0;0;1;0;4;2;0;87;0;0
Sphaeriida;Sphaeriidae;Sphaerium;Sphaerium;6;2;1;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;5;0;0;0;0;0;0;0;3;0;0;0;0
Trichoptera;Hydroptilidae;Stactobia;Stactobia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;6;21;0;0;0;0
Coleoptera;Dytiscidae;Stictonectes;Stictonectes;1;0;0;0;3;39;20;8;8;20;200;2;1;0;6;0;18;0;0;1;3;11;0;1;0;2;53;6;4;0;0;1;47;3;0;0;0;0;0;1
Diptera;Stratiomyidae;Stratiomys;Stratiomys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0;0
Odonata;Libellulidae;Sympetrum;Sympetrum;10;1;8;7;2;1;1;3;3;0;3;0;0;0;2;1;3;4;0;4;0;6;0;0;1;4;0;3;0;0;23;5;0;5;1;5;8;4;0;9
Diptera;Tabanidae;Tabanus;Tabanus;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0
Diptera;Dolichopodidae;Tachytrechus;Tachytrechus;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;1;0;1;0;0;0;1;0;0;0;0
Diptera;Chironomidae;;Tanytarsini;5856;74;104;640;464;4;944;8;170;122;14;555;59;592;0;452;304;12;0;136;30;200;30;60;81;240;240;52;5;0;11;28;38;92;560;391;528;1088;5;68
Ephemeroptera;Leptophlebiidae;Thraulus;Thraulus;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
Trichoptera;Psychomyiidae;Tinodes;Tinodes;3;1;3;0;1;0;0;6;1;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;18;2;2;2;0;0;0;0;0;2;6;33;4;2;0;0
Diptera;Tipulidae;Tipula;Tipula;2;0;0;0;1;0;1;1;0;0;0;0;1;2;1;2;0;0;0;2;0;0;0;0;0;1;0;0;6;0;1;0;3;0;1;1;1;0;0;1
Diptera;Psychodidae;Tonnoiriella;Tonnoiriella;0;0;0;0;4;0;33;2;55;0;1;3;3;5;2;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0
Hemiptera;Veliidae;Velia;Velia;0;0;0;4;1;8;2;0;0;0;7;7;2;3;0;2;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0
Hemiptera;Veliidae;;Veliidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Trichoptera;Philopotamidae;Wormaldia;Wormaldia;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Dytiscidae;Yola;Yola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;10;0;0;0;0
